stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,488,0.465000,0.468000,0.467000,0.625000,0.535000,-0.068000,0.009000
NKT_logret,488,0.512000,0.509000,0.517000,0.663000,0.581000,0.019000,0.015000
VWS_logret,488,0.490000,0.489000,0.474000,0.468000,0.471000,-0.022000,0.019000
ALL,1464,0.489000,0.490000,0.487000,0.587000,0.533000,-0.021000,0.014000
