stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.444444,225,0.482890,263,-0.038445,-0.848004,0.396863
NKT_logret,0.546667,225,0.482890,263,0.063777,1.405368,0.160566
VWS_logret,0.506667,225,0.475285,263,0.031381,0.690122,0.490455
