date,ENEL_logret_hat,ENEL_logret_true,NKT_logret_hat,NKT_logret_true,VWS_logret_hat,VWS_logret_true
2022-12-12,0.001965660136193037,-0.003839,0.010485436767339706,0.009258,0.008234784007072449,-0.002709
2022-12-13,0.009432281367480755,0.009569,0.005962321534752846,0.006106,-0.0016101195942610502,0.013229
2022-12-14,0.007977645844221115,0.0,0.001568145235069096,-0.014858,0.013778087683022022,0.002431
2022-12-15,0.014218771830201149,-0.036862,0.0009733532788231969,-0.011923,0.008432400412857533,-0.0211
2022-12-16,0.016335586085915565,-0.001978,-0.002425046171993017,0.011417,0.003034627065062523,-0.040636
2022-12-19,0.004059848841279745,0.0,-0.007915123365819454,0.015862,-0.02116350829601288,0.016494
2022-12-20,0.0021344651468098164,0.0,0.0032538538798689842,-0.020001,0.006315906532108784,-0.030118
2022-12-21,0.0032446961849927902,0.015717,-0.0033598821610212326,0.008765,0.002779108239337802,0.014347
2022-12-22,0.0025295475497841835,-0.011765,-0.0009689237340353429,-0.014481,0.014130436815321445,0.012718
2022-12-23,0.0023035425692796707,0.0059,8.398492354899645e-05,0.006759,-0.0006218044436536729,0.01014
2022-12-28,0.005775291472673416,-0.005923,0.004845856688916683,-0.011022,0.006012558005750179,-0.007483
2022-12-29,0.0031775981187820435,0.009852,0.0031933574937283993,0.011538,0.018693985417485237,0.020078
2022-12-30,0.0026472911704331636,-0.013821,-0.000653170223813504,-0.025739,0.00515557499602437,-0.008131
2023-01-03,0.008590985089540482,0.024834,0.0005578304408118129,-0.01431,0.007989123463630676,-0.004721
2023-01-04,0.006099528167396784,0.035221,0.005297998897731304,-0.013494,0.016756966710090637,-0.046859
2023-01-05,0.006457243114709854,-0.001823,0.0024500947911292315,-0.026963,0.017964525148272514,0.015745
2023-01-06,0.005311525426805019,0.021661,-0.0020919579546898603,0.022263,0.0029622495640069246,0.027621
2023-01-09,0.00017659319564700127,0.0,-0.003932280465960503,0.034024,0.003206150606274605,0.013899
2023-01-10,0.0040991962887346745,-0.010772,0.003022162476554513,-0.001519,0.014752647839486599,-0.020671
2023-01-11,0.010290447622537613,0.016115,0.0017432630993425846,-0.008662,-0.004383320454508066,0.058639
2023-01-12,0.00664835749194026,0.01411,0.0006072382675483823,0.02127,0.007811672054231167,0.015073
2023-01-13,0.006700463127344847,0.003497,0.003887641942128539,0.007478,0.0037708664312958717,0.001868
2023-01-16,0.0040559424087405205,0.013865,0.0017685384955257177,-0.00198,0.01996544562280178,0.008827
2023-01-17,-0.0005444085691124201,-0.008643,-0.0007632841006852686,0.031399,0.012577418237924576,-0.010695
2023-01-18,0.0006773524801246822,0.0,-0.0018425497692078352,0.012964,-0.006915621925145388,-0.015548
2023-01-19,0.002142527373507619,-0.017514,0.0019273990765213966,-0.008633,0.019798051565885544,-0.04591
2023-01-20,0.00575638422742486,-0.001768,0.005624727811664343,0.0,0.012526847422122955,0.004464
2023-01-23,0.004889025818556547,-0.032377,0.0009277649223804474,0.01006,-0.004167779814451933,0.004444
2023-01-24,0.0039431024342775345,0.005469,-0.003607548773288727,-0.000467,-0.0005082932184450328,-0.00593
2023-01-25,0.0007236429955810308,-0.003643,0.0021304830443114042,-0.010065,0.018508993089199066,-0.025451
2023-01-26,0.0033240127377212048,0.0,0.0012541412143036723,0.01338,0.002466908423230052,0.004363
2023-01-27,0.0015139341121539474,0.001823,-0.0019782765302807093,0.016948,0.005458497907966375,-0.027092
2023-01-30,-0.003722656983882189,-0.010989,0.0019094657618552446,-0.001858,0.013952705077826977,0.0087
2023-01-31,0.0006043162429705262,-0.007394,0.0024182999040931463,-0.006106,-8.711725240573287e-05,0.02465
2023-02-01,0.005721431691199541,-0.022515,0.00437457300722599,0.013086,0.006655602250248194,-0.004841
2023-02-02,0.002924953820183873,0.020658,0.003827201435342431,0.016581,0.005273216404020786,0.034676
2023-02-03,0.0036506541073322296,-0.003724,0.004480757284909487,-0.001818,0.012214462272822857,-0.015252
2023-02-06,0.0068845972418785095,0.003724,0.0031967381946742535,-0.013828,-0.0035558603703975677,-0.002234
2023-02-07,-0.0006314566126093268,-0.003724,0.0028783814050257206,-0.008399,0.006196805275976658,-0.008333
2023-02-08,-0.0018670967547222972,-0.001867,0.0015857445541769266,-0.001862,0.005693000741302967,0.043724
2023-02-09,-0.00401965482160449,-0.001871,0.005221236031502485,0.026379,0.00913575291633606,0.034876
2023-02-10,-0.004126356448978186,0.013023,0.0033344547264277935,-0.033451,0.006862417329102755,-0.013054
2023-02-13,0.003694714279845357,-0.00185,0.0003294353955425322,0.019655,0.006252891384065151,-0.006355
2023-02-14,-0.0002678971504792571,-0.003711,0.0013996283523738384,-0.004194,0.0038378515746444464,-0.016907
2023-02-15,-0.0016103963134810328,0.001857,0.0021858736872673035,0.001417,0.0006926624337211251,-0.001923
