stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.464286,28,0.500000,32,-0.035714,-0.271715,0.786824
NKT_logret,0.500000,28,0.406250,32,0.093750,0.718180,0.475600
VWS_logret,0.464286,28,0.593750,32,-0.129464,-0.993150,0.324859
