stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.500000,28,0.531250,32,-0.031250,-0.237642,0.813012
NKT_logret,0.535714,28,0.406250,32,0.129464,0.993150,0.324859
VWS_logret,0.464286,28,0.593750,32,-0.129464,-0.993150,0.324859
