stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.517000,0.523000,0.500000,0.724000,0.592000,0.051000,0.057000
NKT_logret,60,0.467000,0.457000,0.529000,0.529000,0.529000,-0.086000,0.092000
VWS_logret,60,0.533000,0.533000,0.528000,0.633000,0.576000,0.068000,0.095000
ALL,180,0.506000,0.501000,0.518000,0.624000,0.566000,0.003000,0.081000
