stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.400000,0.400000,0.387000,0.414000,0.400000,-0.199000,0.081000
NKT_logret,60,0.533000,0.516000,0.579000,0.647000,0.611000,0.033000,0.133000
VWS_logret,60,0.467000,0.467000,0.469000,0.500000,0.484000,-0.067000,0.127000
ALL,180,0.467000,0.465000,0.485000,0.527000,0.505000,-0.071000,0.114000
