stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.461538,13,0.545455,11,-0.083916,-0.393390,0.697942
NKT_logret,0.615385,13,0.363636,11,0.251748,1.215957,0.237261
VWS_logret,0.538462,13,0.454545,11,0.083916,0.393390,0.697942
