stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,24,0.500000,0.490000,0.533000,0.615000,0.571000,-0.022000,0.039000
NKT_logret,24,0.500000,0.457000,0.556000,0.714000,0.625000,-0.098000,0.073000
VWS_logret,24,0.500000,0.514000,0.429000,0.600000,0.500000,0.029000,0.074000
ALL,72,0.500000,0.496000,0.511000,0.649000,0.571000,-0.009000,0.062000
