stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_bin,488,0.510000,0.507000,0.503000,0.338000,0.404000,0.016000,0.490000
NKT_bin,488,0.482000,0.481000,0.492000,0.502000,0.497000,-0.038000,0.518000
VWS_bin,488,0.502000,0.502000,0.488000,0.515000,0.501000,0.005000,0.498000
ALL,1464,0.498000,0.498000,0.493000,0.452000,0.472000,-0.005000,0.502000
