stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.535714,28,0.656250,32,-0.120536,-0.938683,0.351922
NKT_logret,0.607143,28,0.375000,32,0.232143,1.813031,0.075115
VWS_logret,0.464286,28,0.593750,32,-0.129464,-0.993150,0.324859
