stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.600000,0.598000,0.593000,0.552000,0.571000,0.198000,0.053000
NKT_logret,60,0.483000,0.463000,0.538000,0.618000,0.575000,-0.078000,0.093000
VWS_logret,60,0.533000,0.533000,0.528000,0.633000,0.576000,0.068000,0.098000
ALL,180,0.539000,0.537000,0.549000,0.602000,0.574000,0.074000,0.081000
