stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.383000,0.384000,0.375000,0.414000,0.393000,-0.232000,0.069000
NKT_logret,60,0.467000,0.452000,0.528000,0.559000,0.543000,-0.096000,0.125000
VWS_logret,60,0.467000,0.467000,0.476000,0.667000,0.556000,-0.073000,0.124000
ALL,180,0.439000,0.435000,0.464000,0.548000,0.502000,-0.133000,0.106000
