stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.493333,225,0.543726,263,-0.050393,-1.109542,0.267759
NKT_logret,0.542222,225,0.509506,263,0.032717,0.720487,0.471580
VWS_logret,0.493333,225,0.528517,263,-0.035184,-0.773884,0.439385
