stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,488,0.520000,0.521000,0.512000,0.529000,0.520000,0.041000,0.008000
NKT_logret,488,0.525000,0.522000,0.528000,0.643000,0.580000,0.046000,0.014000
VWS_logret,488,0.512000,0.519000,0.499000,0.747000,0.598000,0.042000,0.018000
ALL,1464,0.519000,0.520000,0.512000,0.639000,0.569000,0.041000,0.014000
