stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.417000,0.413000,0.375000,0.310000,0.340000,-0.177000,0.074000
NKT_logret,60,0.533000,0.520000,0.583000,0.618000,0.600000,0.041000,0.115000
VWS_logret,60,0.567000,0.567000,0.591000,0.433000,0.500000,0.138000,0.110000
ALL,180,0.506000,0.507000,0.524000,0.462000,0.491000,0.014000,0.100000
