stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_bin,0.493333,225,0.524715,263,-0.031381,-0.690122,0.490455
NKT_bin,0.493333,225,0.501901,263,-0.008568,-0.188312,0.850712
VWS_bin,0.511111,225,0.467681,263,0.043431,0.955560,0.339782
