stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_bin,488,0.510000,0.508000,0.503000,0.350000,0.413000,0.016000,0.490000
NKT_bin,488,0.498000,0.498000,0.508000,0.518000,0.513000,-0.005000,0.502000
VWS_bin,488,0.488000,0.486000,0.471000,0.443000,0.457000,-0.027000,0.512000
ALL,1464,0.499000,0.498000,0.494000,0.438000,0.464000,-0.004000,0.501000
