stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.417000,0.415000,0.393000,0.379000,0.386000,-0.169000,0.070000
NKT_logret,60,0.500000,0.491000,0.559000,0.559000,0.559000,-0.018000,0.119000
VWS_logret,60,0.517000,0.517000,0.519000,0.467000,0.491000,0.034000,0.108000
ALL,180,0.478000,0.478000,0.494000,0.473000,0.484000,-0.044000,0.099000
