stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.500000,28,0.437500,32,0.062500,0.476589,0.635484
NKT_logret,0.642857,28,0.437500,32,0.205357,1.601525,0.114752
VWS_logret,0.464286,28,0.593750,32,-0.129464,-0.993150,0.324859
