stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.467000,0.475000,0.467000,0.724000,0.568000,-0.058000,0.056000
NKT_logret,60,0.533000,0.525000,0.588000,0.588000,0.588000,0.050000,0.096000
VWS_logret,60,0.533000,0.533000,0.529000,0.600000,0.562000,0.067000,0.095000
ALL,180,0.511000,0.507000,0.522000,0.634000,0.573000,0.014000,0.082000
