stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.535714,28,0.656250,32,-0.120536,-0.938683,0.351922
NKT_logret,0.571429,28,0.437500,32,0.133929,1.026919,0.308801
VWS_logret,0.500000,28,0.593750,32,-0.093750,-0.718180,0.475600
