stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.600000,0.598000,0.593000,0.552000,0.571000,0.198000,0.052000
NKT_logret,60,0.500000,0.482000,0.553000,0.618000,0.583000,-0.037000,0.091000
VWS_logret,60,0.550000,0.550000,0.541000,0.667000,0.597000,0.103000,0.094000
ALL,180,0.550000,0.548000,0.559000,0.613000,0.585000,0.096000,0.079000
