stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.307692,13,0.636364,11,-0.328671,-1.625335,0.119040
NKT_logret,0.692308,13,0.363636,11,0.328671,1.625335,0.119040
VWS_logret,0.615385,13,0.454545,11,0.160839,0.762303,0.454314
