stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,24,0.458000,0.458000,0.500000,0.462000,0.480000,-0.084000,0.039000
NKT_logret,24,0.542000,0.521000,0.600000,0.643000,0.621000,0.044000,0.071000
VWS_logret,24,0.542000,0.550000,0.462000,0.600000,0.522000,0.099000,0.075000
ALL,72,0.514000,0.512000,0.525000,0.568000,0.545000,0.025000,0.062000
