stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,488,0.490000,0.489000,0.479000,0.433000,0.455000,-0.022000,0.008000
NKT_logret,488,0.502000,0.499000,0.509000,0.655000,0.573000,-0.002000,0.014000
VWS_logret,488,0.496000,0.508000,0.490000,0.932000,0.642000,0.031000,0.018000
ALL,1464,0.496000,0.497000,0.494000,0.672000,0.569000,-0.006000,0.014000
