stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.500000,28,0.687500,32,-0.187500,-1.473608,0.146239
NKT_logret,0.607143,28,0.468750,32,0.138393,1.065598,0.291081
VWS_logret,0.428571,28,0.625000,32,-0.196429,-1.523170,0.133289
