stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.600000,0.600000,0.586000,0.586000,0.586000,0.199000,0.053000
NKT_logret,60,0.533000,0.525000,0.588000,0.588000,0.588000,0.050000,0.094000
VWS_logret,60,0.533000,0.533000,0.528000,0.633000,0.576000,0.068000,0.096000
ALL,180,0.556000,0.554000,0.566000,0.602000,0.583000,0.108000,0.081000
