stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.500000,0.506000,0.488000,0.690000,0.571000,0.013000,0.056000
NKT_logret,60,0.500000,0.491000,0.559000,0.559000,0.559000,-0.018000,0.092000
VWS_logret,60,0.517000,0.517000,0.514000,0.600000,0.554000,0.034000,0.096000
ALL,180,0.506000,0.502000,0.518000,0.613000,0.562000,0.004000,0.082000
