stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.500000,28,0.500000,32,0.000000,0.000000,1.000000
NKT_logret,0.571429,28,0.437500,32,0.133929,1.026919,0.308801
VWS_logret,0.428571,28,0.593750,32,-0.165179,-1.272439,0.208402
