Date,ENEL_logret,NKT_logret,VWS_logret,brent_price_logret,utilities_close_logret,us10y
2014-10-15,-0.048527,-0.021124,-0.016417,-0.016765,-0.001705,-0.023100
2014-10-16,-0.019526,-0.012930,-0.028367,-0.027470,-0.032110,0.153472
2014-10-17,0.027780,0.038392,0.048147,0.000000,-0.009396,-0.000600
2014-10-20,0.002736,0.007157,0.016098,0.014768,0.025330,0.000200
2014-10-21,0.021622,0.057214,0.051514,-0.010018,-0.003541,0.000500
2014-10-22,0.010638,0.001639,0.029884,0.008845,0.015146,-0.000200
2014-10-23,0.013141,0.008413,0.002028,0.014107,0.009122,0.000300
2014-10-24,0.005208,-0.013425,-0.035580,-0.005107,0.008522,0.000200
2014-10-27,-0.013072,0.000347,-0.005263,0.000698,-0.002854,0.000400
2014-10-28,0.031091,0.008366,0.010499,-0.004195,-0.004492,0.000000
2014-10-29,0.000000,0.019562,-0.005236,-0.000818,0.017785,-0.000200
2014-10-30,-0.002554,-0.001939,0.014074,0.015538,-0.001411,0.000300
2014-10-31,0.040106,0.013079,0.028573,-0.016357,0.005505,0.000400
2014-11-03,-0.042666,-0.007189,0.028758,-0.015678,0.022410,-0.000200
2014-11-04,-0.012903,0.004269,-0.014771,0.008636,-0.023209,0.000300
2014-11-05,0.030693,0.009726,0.005442,-0.033293,-0.006345,0.000100
2014-11-06,-0.010127,0.007336,-0.003955,0.009212,0.015978,-0.000100
2014-11-07,-0.028389,0.005487,0.158598,-0.009699,-0.001203,0.000100
2014-11-10,0.025841,0.001551,-0.053387,0.013553,-0.009197,0.000300
2014-11-11,0.002548,0.018582,0.009319,-0.003612,0.009640,-0.000700
2014-11-12,-0.060307,0.002478,-0.020978,-0.023927,0.007413,0.000600
2014-11-13,-0.008141,-0.017885,0.008981,-0.006445,-0.024241,-0.023800
2014-11-14,0.005435,-0.000325,0.026468,-0.033893,-0.002418,0.164583
2014-11-17,0.005405,-0.030213,-0.001307,-0.002963,-0.003881,-0.000200
2014-11-18,0.005376,0.032081,0.014713,-0.008421,0.004494,-0.000300
2014-11-19,-0.010782,-0.002845,-0.004736,0.004802,0.009567,0.000200
2014-11-20,-0.021919,0.002845,0.003877,-0.000259,0.003763,-0.000200
2014-11-21,0.043367,0.028090,0.022950,0.005167,-0.012138,0.000400
2014-11-24,-0.010667,0.004331,0.004611,0.020280,0.018674,-0.000200
2014-11-25,0.013316,0.001256,0.010402,0.005289,0.000727,-0.000300
