stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,488,0.486000,0.485000,0.476000,0.450000,0.463000,-0.030000,0.009000
NKT_logret,488,0.484000,0.483000,0.494000,0.498000,0.496000,-0.033000,0.016000
VWS_logret,488,0.490000,0.490000,0.476000,0.506000,0.491000,-0.020000,0.019000
ALL,1464,0.486000,0.486000,0.482000,0.485000,0.484000,-0.027000,0.015000
