stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.413333,225,0.547529,263,-0.134195,-2.979823,0.003032
NKT_logret,0.466667,225,0.498099,263,-0.031432,-0.691645,0.489498
VWS_logret,0.506667,225,0.475285,263,0.031381,0.690122,0.490455
