stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,488,0.494000,0.494000,0.485000,0.479000,0.482000,-0.013000,0.009000
NKT_logret,488,0.523000,0.523000,0.533000,0.522000,0.527000,0.045000,0.016000
VWS_logret,488,0.498000,0.498000,0.484000,0.515000,0.499000,-0.003000,0.019000
ALL,1464,0.505000,0.505000,0.501000,0.506000,0.503000,0.010000,0.015000
