stock,DA_high,n_high,DA_low,n_low,delta,t_stat,p_value
ENEL_logret,0.542222,225,0.452471,263,0.089751,1.980481,0.048227
NKT_logret,0.506667,225,0.536122,263,-0.029455,-0.648171,0.517188
VWS_logret,0.524444,225,0.475285,263,0.049159,1.081725,0.279924
