stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.400000,0.398000,0.370000,0.345000,0.357000,-0.204000,0.085000
NKT_logret,60,0.500000,0.486000,0.556000,0.588000,0.571000,-0.027000,0.131000
VWS_logret,60,0.533000,0.533000,0.538000,0.467000,0.500000,0.067000,0.135000
ALL,180,0.478000,0.478000,0.494000,0.473000,0.484000,-0.044000,0.117000
