horizon,stock,n,DA,BA,P,R,F1,MCC,MAE
1,VWS_logret,24,0.833000,0.818000,1.000000,0.636000,0.778000,0.698000,0.047000
2,VWS_logret,24,0.792000,0.811000,0.667000,0.889000,0.762000,0.602000,0.046000
3,VWS_logret,24,0.958000,0.967000,0.900000,1.000000,0.947000,0.917000,0.051000
4,VWS_logret,24,0.917000,0.933000,0.818000,1.000000,0.900000,0.842000,0.050000
5,VWS_logret,24,0.833000,0.829000,0.800000,0.800000,0.800000,0.657000,0.056000
6,VWS_logret,24,0.875000,0.879000,0.818000,0.900000,0.857000,0.749000,0.066000
7,VWS_logret,24,0.708000,0.722000,0.583000,0.778000,0.667000,0.430000,0.074000
8,VWS_logret,24,0.667000,0.667000,0.545000,0.667000,0.600000,0.324000,0.089000
9,VWS_logret,24,0.542000,0.544000,0.417000,0.556000,0.476000,0.086000,0.102000
10,VWS_logret,24,0.667000,0.664000,0.636000,0.636000,0.636000,0.329000,0.106000
11,VWS_logret,24,0.625000,0.594000,0.444000,0.500000,0.471000,0.183000,0.100000
12,VWS_logret,24,0.708000,0.700000,0.600000,0.667000,0.632000,0.393000,0.106000
13,VWS_logret,24,0.583000,0.562000,0.400000,0.500000,0.444000,0.120000,0.116000
14,VWS_logret,24,0.583000,0.571000,0.500000,0.500000,0.500000,0.143000,0.101000
15,VWS_logret,24,0.583000,0.578000,0.455000,0.556000,0.500000,0.151000,0.111000
16,VWS_logret,24,0.500000,0.489000,0.364000,0.444000,0.400000,-0.022000,0.121000
17,VWS_logret,24,0.625000,0.621000,0.545000,0.600000,0.571000,0.240000,0.110000
18,VWS_logret,24,0.458000,0.438000,0.273000,0.375000,0.316000,-0.118000,0.127000
19,VWS_logret,24,0.583000,0.578000,0.455000,0.556000,0.500000,0.151000,0.109000
20,VWS_logret,24,0.500000,0.500000,0.417000,0.500000,0.455000,0.000000,0.108000
