stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,24,0.500000,0.490000,0.533000,0.615000,0.571000,-0.022000,0.051000
NKT_logret,24,0.750000,0.743000,0.786000,0.786000,0.786000,0.486000,0.086000
VWS_logret,24,0.500000,0.500000,0.417000,0.500000,0.455000,0.000000,0.108000
ALL,72,0.583000,0.581000,0.585000,0.649000,0.615000,0.164000,0.082000
