stock,n,DA,BA,P,R,F1,MCC,MAE
ENEL_logret,60,0.483000,0.490000,0.476000,0.690000,0.563000,-0.022000,0.057000
NKT_logret,60,0.450000,0.438000,0.514000,0.529000,0.522000,-0.125000,0.092000
VWS_logret,60,0.533000,0.533000,0.528000,0.633000,0.576000,0.068000,0.095000
ALL,180,0.489000,0.485000,0.504000,0.613000,0.553000,-0.032000,0.081000
